timestamp,message
1592512781794,"START RequestId: 6315a843-be52-422e-bd80-f4713bd12b14 Version: $LATEST
"
1592512781813,"2020-06-18T20:39:41.813Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	deletePnT fxn
"
1592512781815,"{""name"":""deletePicNThought"",""resource"":""/pnts/{pntId}"",""path"":""/pnts/1eca68dd-2077-4f2f-a6db-3301d7e21901"",""httpMethod"":""DELETE"",""headers"":{""Accept"":""application/json, text/plain, */*"",""Accept-Encoding"":""gzip, deflate, br"",""Accept-Language"":""en-US,en;q=0.9"",""Authorization"":""Bearer eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkkxaF9ETVAwX1A4QjBXb1VsQnBjSCJ9.eyJpc3MiOiJodHRwczovL2Rldi13bWJ4ZzZ5MC5hdXRoMC5jb20vIiwic3ViIjoiZ29vZ2xlLW9hdXRoMnwxMTIxNjM3Njk3NzA2OTYwMjY4NzEiLCJhdWQiOiJyY2lYYUxFUWdaTVlWTXNRNDlXcUNzMGRzbTFvWDFPTyIsImlhdCI6MTU5MjUxMDE0NiwiZXhwIjoxNTkyNTQ2MTQ2LCJhdF9oYXNoIjoiWk1ZYXQyTTRpODF6NmpQSU5vV1lFUSIsIm5vbmNlIjoiQkFhdnFuUWxPQkwtVDZxTk5sQy1md3VfZHhxRFhQLVIifQ.JnbgUge1hwUKUqkQmfz04snoXFSqbtJNutIxfBZpfNxN6OpVAQ5f7qB69S1nyYiNpbpqC3zAfdEGQK3SyGnMQ8-mScrKSe2_2SKtpwPJ02Mz55WhHbC8YRMxQ3Z9AvBzLph71wRPWqFhhgJEKg8Vqo9BT_O6VqTf7SK-dbtZDB7gB0_-LeaRFyAC979yrGybs-Dyg5WtQZ1ORHet18VasfgSLMNNkOlKRrb861BQ9pupGl0ikxpWHnZfLfBri8En3rYY6uQENdUo_tM6ykf8ltZwQF4qEZx0J3pmrCRQiJUnAlq3LvdnZvoQCYjqd-bNFzEpToP1iqTT_54EayPa7w"",""CloudFront-Forwarded-Proto"":""https"",""CloudFront-Is-Desktop-Viewer"":""true"",""CloudFront-Is-Mobile-Viewer"":""false"",""CloudFront-Is-SmartTV-Viewer"":""false"",""CloudFront-Is-Tablet-Viewer"":""false"",""CloudFront-Viewer-Country"":""US"",""Host"":""xc5w3qglll.execute-api.us-east-1.amazonaws.com"",""origin"":""http://localhost:3000"",""Referer"":""http://localhost:3000/"",""sec-fetch-dest"":""empty"",""sec-fetch-mode"":""cors"",""sec-fetch-site"":""cross-site"",""User-Agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"",""Via"":""2.0 46732229201aa4f609c262fdc081b510.cloudfront.net (CloudFront)"",""X-Amz-Cf-Id"":""wTIMf2gtk3a32_oHKS7dOP1txOwn9MZ4CGbxeIvFQGj6aGMV4cwPDA=="",""X-Amzn-Trace-Id"":""Root=1-5eebd10c-038eca8363d2f929fb78203e"",""X-Forwarded-For"":""71.156.79.242, 64.252.128.144"",""X-Forwarded-Port"":""443"",""X-Forwarded-Proto"":""https""},""multiValueHeaders"":{""Accept"":[""application/json, text/plain, */*""],""Accept-Encoding"":[""gzip, deflate, br""],""Accept-Language"":[""en-US,en;q=0.9""],""Authorization"":[""Bearer eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkkxaF9ETVAwX1A4QjBXb1VsQnBjSCJ9.eyJpc3MiOiJodHRwczovL2Rldi13bWJ4ZzZ5MC5hdXRoMC5jb20vIiwic3ViIjoiZ29vZ2xlLW9hdXRoMnwxMTIxNjM3Njk3NzA2OTYwMjY4NzEiLCJhdWQiOiJyY2lYYUxFUWdaTVlWTXNRNDlXcUNzMGRzbTFvWDFPTyIsImlhdCI6MTU5MjUxMDE0NiwiZXhwIjoxNTkyNTQ2MTQ2LCJhdF9oYXNoIjoiWk1ZYXQyTTRpODF6NmpQSU5vV1lFUSIsIm5vbmNlIjoiQkFhdnFuUWxPQkwtVDZxTk5sQy1md3VfZHhxRFhQLVIifQ.JnbgUge1hwUKUqkQmfz04snoXFSqbtJNutIxfBZpfNxN6OpVAQ5f7qB69S1nyYiNpbpqC3zAfdEGQK3SyGnMQ8-mScrKSe2_2SKtpwPJ02Mz55WhHbC8YRMxQ3Z9AvBzLph71wRPWqFhhgJEKg8Vqo9BT_O6VqTf7SK-dbtZDB7gB0_-LeaRFyAC979yrGybs-Dyg5WtQZ1ORHet18VasfgSLMNNkOlKRrb861BQ9pupGl0ikxpWHnZfLfBri8En3rYY6uQENdUo_tM6ykf8ltZwQF4qEZx0J3pmrCRQiJUnAlq3LvdnZvoQCYjqd-bNFzEpToP1iqTT_54EayPa7w""],""CloudFront-Forwarded-Proto"":[""https""],""CloudFront-Is-Desktop-Viewer"":[""true""],""CloudFront-Is-Mobile-Viewer"":[""false""],""CloudFront-Is-SmartTV-Viewer"":[""false""],""CloudFront-Is-Tablet-Viewer"":[""false""],""CloudFront-Viewer-Country"":[""US""],""Host"":[""xc5w3qglll.execute-api.us-east-1.amazonaws.com""],""origin"":[""http://localhost:3000""],""Referer"":[""http://localhost:3000/""],""sec-fetch-dest"":[""empty""],""sec-fetch-mode"":[""cors""],""sec-fetch-site"":[""cross-site""],""User-Agent"":[""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36""],""Via"":[""2.0 46732229201aa4f609c262fdc081b510.cloudfront.net (CloudFront)""],""X-Amz-Cf-Id"":[""wTIMf2gtk3a32_oHKS7dOP1txOwn9MZ4CGbxeIvFQGj6aGMV4cwPDA==""],""X-Amzn-Trace-Id"":[""Root=1-5eebd10c-038eca8363d2f929fb78203e""],""X-Forwarded-For"":[""71.156.79.242, 64.252.128.144""],""X-Forwarded-Port"":[""443""],""X-Forwarded-Proto"":[""https""]},""queryStringParameters"":null,""multiValueQueryStringParameters"":null,""pathParameters"":{""pntId"":""1eca68dd-2077-4f2f-a6db-3301d7e21901""},""stageVariables"":null,""requestContext"":{""resourceId"":""a0hlv9"",""authorizer"":{""principalId"":""google-oauth2|112163769770696026871"",""integrationLatency"":386},""resourcePath"":""/pnts/{pntId}"",""httpMethod"":""DELETE"",""extendedRequestId"":""OV2Z9Fw1oAMFl2A="",""requestTime"":""18/Jun/2020:20:39:40 +0000"",""path"":""/dev/pnts/1eca68dd-2077-4f2f-a6db-3301d7e21901"",""accountId"":""234180911028"",""protocol"":""HTTP/1.1"",""stage"":""dev"",""domainPrefix"":""xc5w3qglll"",""requestTimeEpoch"":1592512780411,""requestId"":""27cbe01d-571a-4f48-aec7-da21ec37b85e"",""identity"":{""cognitoIdentityPoolId"":null,""accountId"":null,""cognitoIdentityId"":null,""caller"":null,""sourceIp"":""71.156.79.242"",""principalOrgId"":null,""accessKey"":null,""cognitoAuthenticationType"":null,""cognitoAuthenticationProvider"":null,""userArn"":null,""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.97 Safari/537.36"",""user"":null},""domainName"":""xc5w3qglll.execute-api.us-east-1.amazonaws.com"",""apiId"":""xc5w3qglll""},""body"":null,""isBase64Encoded"":false,""level"":""info"",""message"":""Event: ""}
"
1592512781817,"2020-06-18T20:39:41.816Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	UserId:  google-oauth2|112163769770696026871
"
1592512781817,"2020-06-18T20:39:41.817Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	db_access.getPnT
"
1592512781817,"2020-06-18T20:39:41.817Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	Delete Pic-N-Thought:  1eca68dd-2077-4f2f-a6db-3301d7e21901
"
1592512781817,"2020-06-18T20:39:41.817Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	Query Pic-N-Thought
"
1592512781817,"2020-06-18T20:39:41.817Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	db_access.getPnT
"
1592512781817,"2020-06-18T20:39:41.817Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	Query Todo filter by pntId:  1eca68dd-2077-4f2f-a6db-3301d7e21901
"
1592512781817,"2020-06-18T20:39:41.817Z	6315a843-be52-422e-bd80-f4713bd12b14	INFO	Key:  google-oauth2|112163769770696026871 1eca68dd-2077-4f2f-a6db-3301d7e21901
"
